"kantonnr_badac","kantonnr","kanton","jahr","sitzparl","pda_parl_s","gp_parl_s","sp_parl_s","cvp_parl_s","mitte_parl_s","fdp_parl_s","lps_parl_s","svp_parl_s","dsp_parl_s","csp_parl_s","dn_parl_s","lega_parl_s","fga_parl_s","psa_parl_s","ppn_parl_s","prr_parl_s","glp_parl_s","bdp_parl_s","ldu_parl_s","parlos_parl_s","poch_parl_s","sol_parl_s","evp_parl_s","sd_parl_s","rep_parl_s","edu_parl_s","fps_parl_s","mcg_parl_s","cspow_parl_s","uebrig_parl_s","parl_election...36","pda_parl_sa","gp_parl_sa","sp_parl_sa","cvp_parl_sa","mitte_parl_sa","fdp_parl_sa","lps_parl_sa","svp_parl_sa","dsp_parl_sa","csp_parl_sa","dn_parl_sa","lega_parl_sa","fga_parl_sa","psa_parl_sa","ppn_parl_sa","prr_parl_sa","glp_parl_sa","bdp_parl_sa","ldu_parl_sa","parlos_parl_sa","poch_parl_sa","sol_parl_sa","evp_parl_sa","sd_parl_sa","rep_parl_sa","edu_parl_sa","fps_parl_sa","mcg_parl_sa","cspow_parl_sa","uebrig_parl_sa","pda_parl_v","gp_parl_v","sp_parl_v","cvp_parl_v","mitte_parl_v","fdp_parl_v","lps_parl_v","svp_parl_v","dsp_parl_v","csp_parl_v","dn_parl_v","lega_parl_v","fga_parl_v","psa_parl_v","ppn_parl_v","prr_parl_v","glp_parl_v","bdp_parl_v","ldu_parl_v","parlos_parl_v...86","poch_parl_v","sol_parl_v","evp_parl_v","sd_parl_v","rep_parl_v","edu_parl_v","fp_parl_v","mcg_parl_v","cspow_parl_v","uebrig_parl_v","parl_election...97","turnout_e","rae","partfrakt","parl_party","wett_parl_se","wett_parl_vo","max_sitzzahl_parl","n_bestplatzierte_sitzzahl_parl","wett_parl2_se","max_waehleranteil_parl","n_bestplatzierte_waehleranteil_parl","wett_parl2_vo","parlegisl","volatilitaet_se_election","volatilitaet_se","volatilitaet_se_year","volatilitaet_vo_election","volatilitaet_vo","gallagher","parl_left","parl_cent","parl_right","parl_kath","parl_gruene","reg_election","sitzreg","pda_reg_s","gp_reg_s","sp_reg_s","cvp_reg_s","mitte_reg_s","fdp_reg_s","lps_reg_s","svp_reg_s","dsp_reg_s","csp_reg_s","dn_reg_s","lega_reg_s","fga_reg_s","psa_reg_s","ppn_reg_s","prr_reg_s","glp_reg_s","bdp_reg_s","ldu_reg_s","parlos_reg_s","poch_reg_s","sol_reg_s","evp_reg_s","sd_reg_s","rep_reg_s","edu_reg_s","fp_reg_s","mcg_reg_s","cspow_reg_s","uebrig_reg_s","reg_left","reg_cent","reg_right","reg_kath","reg_gruene","parlos_parl_v...159","reg_konk","reg_party","konk_2","spann","wett_reg_se","max_sitzzahl_reg","n_bestplatzierte_sitzzahl_reg","...167","...168","wett_reg2_se","pda_g","gp_g","sp_g","cvp_g","mitte_g","fdp_g","lps_g","svp_g","dsp_g","csp_g","dn_g","lega_g","fga_g","psa_g","ppn_g","prr_g","glp_g","bdp_g","ldu_g","parlos_g","poch_g","sol_g","evp_g","sd_g","rep_g","edu_g","fps_g","mcg_g","cspow_g","uebrig_g","g","pda_o","gp_o","sp_o","cvp_o","mitte_o","fdp_o","lps_o","svp_o","dsp_o","csp_o","dn_o","lega_o","fga_o","psa_o","ppn_o","prr_o","glp_o","bdp_o","ldu_o","parlos_o","poch_o","sol_o","evp_o","sd_o","rep_o","edu_o","fps_o","mcg_o","cspow_o","uebrig_o","o","ieo","balance","proporz","proporz4","proporz3reg","reg_proporz","abst_total","init_total","ref_total","turnout_v","ref_obl","ref_fak","volksinit","gegenvor_init","sonstige_init","vi_verfahr","obl_finref","fak_finref","ddr_snddi","ddr_stutz","gir","vir","grr","frr","ddr_gde_obl","ddr_gde_fak","ddr_gde_init","dez_policy","dez_polity","dez_politics"
26,1,"ZH",1979,180,"0","0","49","21",".","51","0","32","0","0","0","0","0","0","0","0","0","0","14","0","1","0","12","0","0","0","0","0","0","0","1","0","0","27.222222222222225","11.666666666666668",".","28.333333333333336","0","17.777777777777779","0","0","0","0","0","0","0","0","0","0","7.7777777777777786","0","0.55555555555555558","0","6.666666666666667","0","0","0","0","0","0","0","0.8","0.3","25.1","11",".","24.8","0","17.5","0","0","0","0","0","0","0","0","0","0","8.3000000000000007","0","1.4","0","7.2","2.5","0","0.3","0","0","0","0.8","1","40.1","78.987654320987659","4.7591069330199769","7","71.666666666666671","74.900000000000006","51","1","1.1111111111111112","25.1","1","0.30000000000000071",4,"8.8888888888888893","8.8888888888888893","2.2222222222222223","8.65","8.65","3.5951441874276822","27.777777777777779","26.111111111111114","46.111111111111114","11.666666666666666","0",1,7,0,0,1,"1",".",2,0,2,0,0,0,0,0,0,0,0,0,"0",1,0,0,0,0,0,0,0,0,0,0,0,14.2857142857143,28.5714285714286,57.1428571428571,14.2857142857143,0,"0","86.7",5,"5.867",3,71.4285714285714,2,2,71.4285714285714,0,0,".",".","27.222222222222221","11.666666666666666",".","28.333333333333332",".","17.777777777777779",".",".",".",".",".",".",".",".",".",".","7.7777777777777777",".",".",".",".",".",".",".",".",".",".",".","22.165668662674651","0","0",".",".",".",".","0",".","0","0","0","0","0","0","0","0","0","0",".","0","0.55555555555555558","0","6.666666666666667","0","0","0","0","0","0","0","6.1965811965811968","0.27955760283540565","0.84030912533906543",3,4,3,0,14,3,10,"34.614280000000001",10,0,3,"1","0","0","3","0",".",4.41666666666667,3.33333333333333,3.33333333333333,6,5,".",".",".",".",".","."
26,1,"ZH",1980,180,"0","0","49","21",".","51","0","32","0","0","0","0","0","0","0","0","0","0","14","0","1","0","12","0","0","0","0","0","0","0","0","0","0","27.222222222222225","11.666666666666668",".","28.333333333333336","0","17.777777777777779","0","0","0","0","0","0","0","0","0","0","7.7777777777777786","0","0.55555555555555558","0","6.666666666666667","0","0","0","0","0","0","0","0.8","0.3","25.1","11",".","24.8","0","17.5","0","0","0","0","0","0","0","0","0","0","8.3000000000000007","0","1.4","0","7.2","2.5","0","0.3","0","0","0","0.8","0","40.1","78.987654320987659","4.7591069330199769","7","71.666666666666671","74.900000000000006","51","1","1.1111111111111112","25.1","1","0.30000000000000071",4,".","8.8888888888888893","2.2222222222222223",".","8.65","3.5951441874276822","27.777777777777779","26.111111111111114","46.111111111111114","11.666666666666666","0",0,7,0,0,1,"1",".",2,0,2,0,0,0,0,0,0,0,0,0,"0",1,0,0,0,0,0,0,0,0,0,0,0,14.2857142857143,28.5714285714286,57.1428571428571,14.2857142857143,0,"0","86.7",5,"5.867",3,71.4285714285714,2,2,71.4285714285714,0,0,".",".","27.222222222222221","11.666666666666666",".","28.333333333333332",".","17.777777777777779",".",".",".",".",".",".",".",".",".",".","7.7777777777777777",".",".",".",".",".",".",".",".",".",".",".","22.165668662674651","0","0",".",".",".",".","0",".","0","0","0","0","0","0","0","0","0","0",".","0","0.55555555555555558","0","6.666666666666667","0","0","0","0","0","0","0","6.1965811965811968","0.27955760283540565","0.84030912533906543",3,4,3,0,13,1,11,"32.088889999999999",11,0,1,"1","0","0","3","0",".",4.41666666666667,3.33333333333333,3.33333333333333,6,5,".",".",".",".",".","."
26,1,"ZH",1981,180,"0","0","49","21",".","51","0","32","0","0","0","0","0","0","0","0","0","0","14","0","1","0","12","0","0","0","0","0","0","0","0","0","0","27.222222222222225","11.666666666666668",".","28.333333333333336","0","17.777777777777779","0","0","0","0","0","0","0","0","0","0","7.7777777777777786","0","0.55555555555555558","0","6.666666666666667","0","0","0","0","0","0","0","0.8","0.3","25.1","11",".","24.8","0","17.5","0","0","0","0","0","0","0","0","0","0","8.3000000000000007","0","1.4","0","7.2","2.5","0","0.3","0","0","0","0.8","0","40.1","78.987654320987659","4.7591069330199769","7","71.666666666666671","74.900000000000006","51","1","1.1111111111111112","25.1","1","0.30000000000000071",4,".","8.8888888888888893","2.2222222222222223",".","8.65","3.5951441874276822","27.777777777777779","26.111111111111114","46.111111111111114","11.666666666666666","0",0,7,0,0,1,"1",".",2,0,2,0,0,0,0,0,0,0,0,0,"0",1,0,0,0,0,0,0,0,0,0,0,0,14.2857142857143,28.5714285714286,57.1428571428571,14.2857142857143,0,"0","86.7",5,"5.867",3,71.4285714285714,2,2,71.4285714285714,0,0,".",".","27.222222222222221","11.666666666666666",".","28.333333333333332",".","17.777777777777779",".",".",".",".",".",".",".",".",".",".","7.7777777777777777",".",".",".",".",".",".",".",".",".",".",".","22.165668662674651","0","0",".",".",".",".","0",".","0","0","0","0","0","0","0","0","0","0",".","0","0.55555555555555558","0","6.666666666666667","0","0","0","0","0","0","0","6.1965811965811968","0.27955760283540565","0.84030912533906543",3,4,3,0,19,6,13,"34.942100000000003",13,0,6,"0","0","0","3","0",".",4.41666666666667,3.33333333333333,3.33333333333333,6,5,".",".",".",".",".","."
26,1,"ZH",1982,180,"0","0","49","21",".","51","0","32","0","0","0","0","0","0","0","0","0","0","14","0","1","0","12","0","0","0","0","0","0","0","0","0","0","27.222222222222225","11.666666666666668",".","28.333333333333336","0","17.777777777777779","0","0","0","0","0","0","0","0","0","0","7.7777777777777786","0","0.55555555555555558","0","6.666666666666667","0","0","0","0","0","0","0","0.8","0.3","25.1","11",".","24.8","0","17.5","0","0","0","0","0","0","0","0","0","0","8.3000000000000007","0","1.4","0","7.2","2.5","0","0.3","0","0","0","0.8","0","40.1","78.987654320987659","4.7591069330199769","7","71.666666666666671","74.900000000000006","51","1","1.1111111111111112","25.1","1","0.30000000000000071",4,".","8.8888888888888893","2.2222222222222223",".","8.65","3.5951441874276822","27.777777777777779","26.111111111111114","46.111111111111114","11.666666666666666","0",0,7,0,0,1,"1",".",2,0,2,0,0,0,0,0,0,0,0,0,"0",1,0,0,0,0,0,0,0,0,0,0,0,14.2857142857143,28.5714285714286,57.1428571428571,14.2857142857143,0,"0","86.7",5,"5.867",3,71.4285714285714,2,2,71.4285714285714,0,0,".",".","27.222222222222221","11.666666666666666",".","28.333333333333332",".","17.777777777777779",".",".",".",".",".",".",".",".",".",".","7.7777777777777777",".",".",".",".",".",".",".",".",".",".",".","22.165668662674651","0","0",".",".",".",".","0",".","0","0","0","0","0","0","0","0","0","0",".","0","0.55555555555555558","0","6.666666666666667","0","0","0","0","0","0","0","6.1965811965811968","0.27955760283540565","0.84030912533906543",3,4,3,0,16,5,10,"36.40625",10,0,5,"1","0","0","5","0",".",4.41666666666667,3.33333333333333,3.33333333333333,6,5,".",".",".",".",".","."
26,1,"ZH",1983,180,"0","4","35","23",".","52","0","35","0","0","0","0","0","0","0","0","0","0","12","0","3","0","14","2","0","0","0","0","0","0","1","0","2.2222222222222223","19.444444444444446","12.777777777777779",".","28.888888888888889","0","19.444444444444446","0","0","0","0","0","0","0","0","0","0","6.666666666666667","0","1.6666666666666667","0","7.7777777777777786","1.1111111111111112","0","0","0","0","0","0","0.3","3.2","19.899999999999999","11.3",".","24.7","0","17","0","0","0","0","2.6","0","0","0","0","0","7.3","0","0","0","7.5","3.9","0","0.1","0","0","0","2.2000000000000002","1","38.1","81.320987654320987","5.3536021150033042","9","71.111111111111114","75.3","52","1","9.4444444444444446","24.7","1","4.8000000000000007",4,"8.8888888888888857","8.8888888888888857","2.2222222222222214","8.9","8.9","4.7309331421043899","23.333333333333332","27.222222222222221","49.444444444444443","12.777777777777777","2.2222222222222223",1,7,0,0,1,"1",".",2,0,2,0,0,0,0,0,0,0,0,0,"0",1,0,0,0,0,0,0,0,0,0,0,0,14.2857142857143,28.5714285714286,57.1428571428571,14.2857142857143,0,"0","80.2",5,"5.8019999999999996",3,71.4285714285714,2,2,71.4285714285714,0,0,".",".","19.444444444444446","12.777777777777777",".","28.888888888888886",".","19.444444444444446",".",".",".",".",".",".",".",".",".",".","6.666666666666667",".",".",".",".",".",".",".",".",".",".",".","20.619249823071474","0","2.2222222222222223",".",".",".",".","0",".","0","0","0","0","0","0","0","0","0","0",".","0","1.6666666666666667","0","7.7777777777777777","1.1111111111111112","0","0","0","0","0","0","5.4347826086956514","0.26357809597003456","0.84815532785624181",3,4,3,0,12,0,12,"31.425000000000001",11,1,0,"0","0","0","3","1",".",4.41666666666667,3.33333333333333,3.33333333333333,6,5,".",".",".",".",".","."
26,1,"ZH",1984,180,"0","4","35","23",".","52","0","35","0","0","0","0","0","0","0","0","0","0","12","0","3","0","14","2","0","0","0","0","0","0","0","0","2.2222222222222223","19.444444444444446","12.777777777777779",".","28.888888888888889","0","19.444444444444446","0","0","0","0","0","0","0","0","0","0","6.666666666666667","0","1.6666666666666667","0","7.7777777777777786","1.1111111111111112","0","0","0","0","0","0","0.3","3.2","19.899999999999999","11.3",".","24.7","0","17","0","0","0","0","2.6","0","0","0","0","0","7.3","0","0","0","7.5","3.9","0","0.1","0","0","0","2.2000000000000002","0","38.1","81.320987654320987","5.3536021150033042","9","71.111111111111114","75.3","52","1","9.4444444444444446","24.7","1","4.8000000000000007",4,".","8.8888888888888857","2.2222222222222214",".","8.9","4.7309331421043899","23.333333333333332","27.222222222222221","49.444444444444443","12.777777777777777","2.2222222222222223",0,7,0,0,1,"1",".",2,0,2,0,0,0,0,0,0,0,0,0,"0",1,0,0,0,0,0,0,0,0,0,0,0,14.2857142857143,28.5714285714286,57.1428571428571,14.2857142857143,0,"0","80.2",5,"5.8019999999999996",3,71.4285714285714,2,2,71.4285714285714,0,0,".",".","19.444444444444446","12.777777777777777",".","28.888888888888886",".","19.444444444444446",".",".",".",".",".",".",".",".",".",".","6.666666666666667",".",".",".",".",".",".",".",".",".",".",".","20.619249823071474","0","2.2222222222222223",".",".",".",".","0",".","0","0","0","0","0","0","0","0","0","0",".","0","1.6666666666666667","0","7.7777777777777777","1.1111111111111112","0","0","0","0","0","0","5.4347826086956514","0.26357809597003456","0.84815532785624181",3,4,3,0,8,0,8,"45.162500000000001",7,1,0,"0","0","0","2","1",".",4.41666666666667,3.33333333333333,3.33333333333333,6,5,".",".",".",".",".","."
26,1,"ZH",1985,180,"0","4","35","23",".","52","0","35","0","0","0","0","0","0","0","0","0","0","12","0","3","0","14","2","0","0","0","0","0","0","0","0","2.2222222222222223","19.444444444444446","12.777777777777779",".","28.888888888888889","0","19.444444444444446","0","0","0","0","0","0","0","0","0","0","6.666666666666667","0","1.6666666666666667","0","7.7777777777777786","1.1111111111111112","0","0","0","0","0","0","0.3","3.2","19.899999999999999","11.3",".","24.7","0","17","0","0","0","0","2.6","0","0","0","0","0","7.3","0","0","0","7.5","3.9","0","0.1","0","0","0","2.2000000000000002","0","38.1","81.320987654320987","5.3536021150033042","9","71.111111111111114","75.3","52","1","9.4444444444444446","24.7","1","4.8000000000000007",4,".","8.8888888888888857","2.2222222222222214",".","8.9","4.7309331421043899","23.333333333333332","27.222222222222221","49.444444444444443","12.777777777777777","2.2222222222222223",0,7,0,0,1,"1",".",2,0,2,0,0,0,0,0,0,0,0,0,"0",1,0,0,0,0,0,0,0,0,0,0,0,14.2857142857143,28.5714285714286,57.1428571428571,14.2857142857143,0,"0","80.2",5,"5.8019999999999996",3,71.4285714285714,2,2,71.4285714285714,0,0,".",".","19.444444444444446","12.777777777777777",".","28.888888888888886",".","19.444444444444446",".",".",".",".",".",".",".",".",".",".","6.666666666666667",".",".",".",".",".",".",".",".",".",".",".","20.619249823071474","0","2.2222222222222223",".",".",".",".","0",".","0","0","0","0","0","0","0","0","0","0",".","0","1.6666666666666667","0","7.7777777777777777","1.1111111111111112","0","0","0","0","0","0","5.4347826086956514","0.26357809597003456","0.84815532785624181",3,4,3,0,16,4,12,"44.075000000000003",9,3,4,"0","0","0","3","3",".",4.41666666666667,3.33333333333333,3.33333333333333,6,5,".",".",".",".",".","."
26,1,"ZH",1986,180,"0","4","35","23",".","52","0","35","0","0","0","0","0","0","0","0","0","0","12","0","3","0","14","2","0","0","0","0","0","0","0","0","2.2222222222222223","19.444444444444446","12.777777777777779",".","28.888888888888889","0","19.444444444444446","0","0","0","0","0","0","0","0","0","0","6.666666666666667","0","1.6666666666666667","0","7.7777777777777786","1.1111111111111112","0","0","0","0","0","0","0.3","3.2","19.899999999999999","11.3",".","24.7","0","17","0","0","0","0","2.6","0","0","0","0","0","7.3","0","0","0","7.5","3.9","0","0.1","0","0","0","2.2000000000000002","0","38.1","81.320987654320987","5.3536021150033042","9","71.111111111111114","75.3","52","1","9.4444444444444446","24.7","1","4.8000000000000007",4,".","8.8888888888888857","2.2222222222222214",".","8.9","4.7309331421043899","23.333333333333332","27.222222222222221","49.444444444444443","12.777777777777777","2.2222222222222223",0,7,0,0,1,"1",".",2,0,2,0,0,0,0,0,0,0,0,0,"0",1,0,0,0,0,0,0,0,0,0,0,0,14.2857142857143,28.5714285714286,57.1428571428571,14.2857142857143,0,"0","80.2",5,"5.8019999999999996",3,71.4285714285714,2,2,71.4285714285714,0,0,".",".","19.444444444444446","12.777777777777777",".","28.888888888888886",".","19.444444444444446",".",".",".",".",".",".",".",".",".",".","6.666666666666667",".",".",".",".",".",".",".",".",".",".",".","20.619249823071474","0","2.2222222222222223",".",".",".",".","0",".","0","0","0","0","0","0","0","0","0","0",".","0","1.6666666666666667","0","7.7777777777777777","1.1111111111111112","0","0","0","0","0","0","5.4347826086956514","0.26357809597003456","0.84815532785624181",3,4,3,0,17,4,12,"38.647060000000003",11,1,4,"1","0","0","3","1",".",4.41666666666667,3.33333333333333,3.33333333333333,6,5,".",".",".",".",".","."
26,1,"ZH",1987,180,"0","21","34","17",".","46","0","31","0","0","0","0","3","0","0","0","0","0","10","0","0","0","11","6","0","0","0","0","0","1","1","0","11.666666666666668","18.888888888888889","9.4444444444444446",".","25.555555555555557","0","17.222222222222221","0","0","0","0","1.6666666666666667","0","0","0","0","0","5.5555555555555554","0","0","0","6.1111111111111116","3.3333333333333335","0","0","0","0","0","0.55555555555555558","0.2","10.4","17.2","8.8000000000000007",".","23","0","15.8","0","0","0","0","3.3","0","0","0","0","0","6.4","0","0","0","6.2","6","0","0.6","0","0","0","2","1","45.8","83.861111111111114","6.1962134251290877","10","74.444444444444443","77","46","1","6.666666666666667","23","1","5.8000000000000007",4,"13.888888888888891","13.888888888888891","3.4722222222222228","10.549999999999999","10.549999999999999","3.487517423293792","32.222222222222221","21.111111111111111","46.111111111111114","9.4444444444444446","13.333333333333334",1,7,0,0,1,"1",".",2,0,2,0,0,0,0,0,0,0,0,0,"0",1,0,0,0,0,0,0,0,0,0,0,0,14.2857142857143,28.5714285714286,57.1428571428571,14.2857142857143,0,"0","71.2",5,"5.7119999999999997",3,71.4285714285714,2,2,71.4285714285714,0,0,".",".","18.888888888888889","9.4444444444444446",".","25.555555555555554",".","17.222222222222221",".",".",".",".",".",".",".",".",".",".","5.5555555555555554",".",".",".",".",".",".",".",".",".",".",".","18.607085346215776","0","11.666666666666666",".",".",".",".","0",".","0","0","0","0","1.6666666666666667","0","0","0","0","0",".","0","0","0","6.1111111111111107","3.3333333333333335","0","0","0","0","0","0.55555555555555558","8.2249322493224923","0.44203227406570916","0.89617846903106713",3,4,3,0,10,0,10,"28.73",10,0,0,"0","0","0","4","0",".",4.41666666666667,3.33333333333333,3.33333333333333,6,5,".",".",".",".",".","."
26,1,"ZH",1988,180,"0","21","34","17",".","46","0","31","0","0","0","0","3","0","0","0","0","0","10","0","0","0","11","6","0","0","0","0","0","1","0","0","11.666666666666668","18.888888888888889","9.4444444444444446",".","25.555555555555557","0","17.222222222222221","0","0","0","0","1.6666666666666667","0","0","0","0","0","5.5555555555555554","0","0","0","6.1111111111111116","3.3333333333333335","0","0","0","0","0","0.55555555555555558","0.2","10.4","17.2","8.8000000000000007",".","23","0","15.8","0","0","0","0","3.3","0","0","0","0","0","6.4","0","0","0","6.2","6","0","0.6","0","0","0","2","0","45.8","83.861111111111114","6.1962134251290877","10","74.444444444444443","77","46","1","6.666666666666667","23","1","5.8000000000000007",4,".","13.888888888888891","3.4722222222222228",".","10.549999999999999","3.487517423293792","32.222222222222221","21.111111111111111","46.111111111111114","9.4444444444444446","13.333333333333334",0,7,0,0,1,"1",".",2,0,2,0,0,0,0,0,0,0,0,0,"0",1,0,0,0,0,0,0,0,0,0,0,0,14.2857142857143,28.5714285714286,57.1428571428571,14.2857142857143,0,"0","71.2",5,"5.7119999999999997",3,71.4285714285714,2,2,71.4285714285714,0,0,".",".","18.888888888888889","9.4444444444444446",".","25.555555555555554",".","17.222222222222221",".",".",".",".",".",".",".",".",".",".","5.5555555555555554",".",".",".",".",".",".",".",".",".",".",".","18.607085346215776","0","11.666666666666666",".",".",".",".","0",".","0","0","0","0","1.6666666666666667","0","0","0","0","0",".","0","0","0","6.1111111111111107","3.3333333333333335","0","0","0","0","0","0.55555555555555558","8.2249322493224923","0.44203227406570916","0.89617846903106713",3,4,3,0,12,3,9,"38.816670000000002",9,0,3,"0","0","0","3","0",".",4.41666666666667,3.33333333333333,3.33333333333333,6,5,".",".",".",".",".","."
