"","kanton","ddr_stutz","gir","vir","grr","frr"
"40","ZH",4.29166666666667,4.33333333333333,4.33333333333333,4,4.5
"85","BE",3.02083333333333,2.66666666666667,2.66666666666667,3,3.75
"130","LU",4.5,5.33333333333333,5,3.66666666666667,4
"175","UR",5.125,5.33333333333333,5.33333333333333,5.33333333333333,4.5
"220","SZ",5.02083333333333,5.66666666666667,5.66666666666667,5,3.75
"265","OW",4.4375,4.33333333333333,4,4.66666666666667,4.75
"310","NW",4.4375,4.33333333333333,4,4.66666666666667,4.75
"355","GL",5.5,6,6,6,4
"400","ZG",4.79166666666667,5.33333333333333,5.33333333333333,4,4.5
"445","FR",3.04166666666667,3.33333333333333,3.33333333333333,3,2.5
"490","SO",5.16666666666667,5.33333333333333,5.33333333333333,5,5
"535","BS",4.5625,5,5,4,4.25
"580","BL",5.47916666666667,6,6,5.16666666666667,4.75
"625","SH",5.29166666666667,5.66666666666667,5.66666666666667,5.33333333333333,4.5
"670","AR",4.72916666666667,6,6,4.66666666666667,2.25
"715","AI",5.3125,6,6,6,3.25
"760","SG",3.66666666666667,4,3.33333333333333,3.33333333333333,4
"805","GR",4.70833333333333,5,5,4.33333333333333,4.5
"850","AG",5.23958333333333,5.66666666666667,5.66666666666667,4.75,4.875
"895","TG",4.33333333333333,4,4,4.33333333333333,5
"940","TI",2.33333333333333,2.66666666666667,1.66666666666667,2,3
"985","VD",2.72916666666667,2.66666666666667,2.66666666666667,2.33333333333333,3.25
"1030","VS",3.75,5.33333333333333,4.66666666666667,4,1
"1075","NE",3.35416666666667,3.66666666666667,3,3,3.75
"1120","GE",2,3,2,2,1
"1165","JU",4.02083333333333,5,5,3.33333333333333,2.75
